City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Naze,JP,64.4,few clouds,28.3667,129.4833,奄美ポートタワーホテル
485,Ukiah,US,57.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
487,Vallenar,CL,66.81,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
491,Filingue,NE,72.18,clear sky,14.3521,3.3168,
492,Otane,NZ,61.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
498,Santa Ana Huista,GT,71.6,clear sky,15.6833,-91.8167,HOTEL CABALLO DORADO
504,Taltal,CL,64.74,scattered clouds,-25.4,-70.4833,Residencial Karime
505,Prieska,ZA,75.0,clear sky,-29.6641,22.7474,Avenue GuestHouse
506,Necochea,AR,57.99,clear sky,-38.5473,-58.7368,dyd -mar Hotel
509,Trinidad,BO,74.75,overcast clouds,-14.8333,-64.9,Hotel Piesta
512,Dolores,AR,61.03,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
513,Qandala,SO,70.93,clear sky,11.472000000000001,49.8728,
515,Wattegama,LK,69.8,few clouds,6.7989,81.4808,
517,Kaeo,NZ,70.5,overcast clouds,-35.1,173.7833,Bushido Lodge
520,San Ramon,US,60.01,clear sky,37.7799,-121.978,San Ramon Marriott
521,Waslala,NI,68.23,broken clouds,13.2333,-85.3833,
522,Araouane,ML,74.57,overcast clouds,18.9048,-3.5265,
524,Pareora,NZ,64.99,overcast clouds,-44.4871,171.2132,
527,Springbok,ZA,58.14,clear sky,-29.6643,17.8865,Undulata Country Lodge
533,Diego De Almagro,CL,61.61,clear sky,-26.3667,-70.05,hotel luna del desierto
535,Sabya,SA,73.4,clear sky,17.1495,42.6254,Aseel Hotel Apartment
538,Antofagasta,CL,66.2,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
544,Harindanga,IN,57.2,mist,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
545,Rio Gallegos,AR,62.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
547,Ormara,PK,68.02,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
550,Bandarbeyla,SO,70.84,few clouds,9.4942,50.8122,JABIR HOTEL
551,Wanning,CN,69.82,scattered clouds,18.8003,110.3967,Paradise Hotel
562,Funtua,NG,66.33,clear sky,11.5233,7.3081,Sani Jikan Mallam Hotel
566,Santa Cruz De La Palma,ES,59.0,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
568,Iberia,US,66.0,overcast clouds,29.9502,-91.7507,back to back rv park
574,Kudligi,IN,63.63,clear sky,14.9,76.3833,Barkath mansion
579,Keelung,TW,71.6,few clouds,25.1283,121.7419,East Coast Star Boutique Hotel
580,Kalakamati,BW,68.29,overcast clouds,-20.5929,27.3121,
586,Kabinda,CD,65.98,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
589,Limulunga,ZM,66.76,moderate rain,-15.0969,23.1376,Acamms Gardens
590,Soroti,UG,69.19,clear sky,1.7146,33.6111,Marcllay Hotel - Soroti
591,Sao Francisco,BR,74.55,broken clouds,-15.9486,-44.8644,Pousada Peixe Vivo
596,Durazno,UY,62.73,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
605,Tuntum,BR,74.91,overcast clouds,-5.2581,-44.6489,Casa do Murilo
606,Amapa,BR,72.48,overcast clouds,1.0,-52.0,
608,Puerto Leguizamo,CO,73.69,moderate rain,-0.1934,-74.7819,la casona de juancho
610,Tres Arroyos,AR,59.43,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
613,Lobito,AO,74.3,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
621,Tortoli,IT,55.0,broken clouds,39.9256,9.6572,Hotel La Bitta
622,Luena,AO,61.38,broken clouds,-11.7833,19.9167,Hotel Kandamba
