City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Bondo,CD,2021-01-31 19:43:00,3.8146,23.6866,73.65,34,100,1.34
106,Inhambane,MZ,2021-01-31 19:38:16,-23.865,35.3833,84.2,74,20,11.5
107,Arraial Do Cabo,BR,2021-01-31 19:41:57,-22.9661,-42.0278,86.0,58,40,17.27
108,Mahebourg,MU,2021-01-31 19:41:06,-20.4081,57.7,80.6,78,75,11.5
109,Porto Novo,BJ,2021-01-31 19:43:00,6.4965,2.6036,84.2,84,20,13.8
110,Nova Olinda Do Norte,BR,2021-01-31 19:43:00,-3.8881,-59.0942,89.55,57,64,3.62
111,Puerto Ayora,EC,2021-01-31 19:43:00,-0.7393,-90.3518,86.0,66,0,16.11
112,Keti Bandar,PK,2021-01-31 19:43:00,24.1447,67.4497,67.84,79,0,9.26
113,Tavagnacco,IT,2021-01-31 19:43:00,46.1272,13.2132,39.99,75,25,7.0
114,Saint Andrews,US,2021-01-31 19:43:01,34.0454,-81.1293,46.4,93,90,3.44
115,Tessalit,ML,2021-01-31 19:43:01,20.1986,1.0114,67.26,20,77,8.75
116,Gafanha Da Encarnacao,PT,2021-01-31 19:43:01,40.6181,-8.733,57.99,93,53,3.0
117,Bengkulu,ID,2021-01-31 19:43:01,-3.8004,102.2655,75.76,87,100,5.46
118,Iskateley,RU,2021-01-31 19:43:01,67.6803,53.1512,7.88,95,71,8.68
119,Toora-Khem,RU,2021-01-31 19:43:01,52.4675,96.11,-21.95,84,73,1.72
120,Gorontalo,ID,2021-01-31 19:43:01,0.5412,123.0595,75.63,85,100,4.14
121,Shimoda,JP,2021-01-31 19:43:01,34.6667,138.95,37.0,60,83,7.63
122,Tual,ID,2021-01-31 19:43:01,-5.6667,132.75,81.45,78,100,15.21
123,Mangrol,IN,2021-01-31 19:43:01,21.1167,70.1167,65.08,52,0,12.64
124,Kapaa,US,2021-01-31 19:43:01,22.0752,-159.319,73.99,73,40,16.11
125,Sibolga,ID,2021-01-31 19:43:01,1.7427,98.7792,74.23,79,97,5.3
126,Bolobo,CD,2021-01-31 19:43:02,-2.1667,16.2333,74.41,84,40,2.48
127,Salima,MW,2021-01-31 19:43:02,-13.7804,34.4587,72.81,87,100,2.84
128,Tiksi,RU,2021-01-31 19:43:02,71.6872,128.8694,-26.7,86,100,6.8
129,Isangel,VU,2021-01-31 19:43:02,-19.55,169.2667,75.2,94,90,16.26
130,Nalobikha,RU,2021-01-31 19:43:02,53.2006,84.6039,4.71,90,3,9.08
131,Caravelas,BR,2021-01-31 19:43:02,-17.7125,-39.2481,80.82,68,73,8.97
132,Mar Del Plata,AR,2021-01-31 19:40:23,-38.0023,-57.5575,64.4,68,90,17.27
133,Megion,RU,2021-01-31 19:43:02,61.0296,76.1136,-4.0,84,90,6.71
134,Sioux Lookout,CA,2021-01-31 19:43:02,50.1001,-91.917,26.6,86,90,6.91
135,Vila,PT,2021-01-31 19:43:03,42.0304,-8.1588,52.0,95,100,21.0
