City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Khonsa,IN,27.0167,95.5667,53.96,66,0,3.33,clear sky
169,De-Kastri,RU,51.4667,140.7833,-8.97,81,100,5.7,overcast clouds
170,Olot,ES,42.181,2.4901,50.0,84,1,4.92,clear sky
171,Rognan,NO,67.0953,15.3878,17.01,90,100,3.11,overcast clouds
172,Ilinskiy,RU,55.619,38.1182,19.4,86,90,11.18,snow
173,Zhigansk,RU,66.7697,123.3711,-42.77,75,0,12.17,clear sky
174,Ligayan,PH,4.6533,119.4706,81.39,76,100,7.38,overcast clouds
175,Norman Wells,CA,65.282,-126.8329,-40.0,67,40,2.3,scattered clouds
176,Karratha,AU,-20.7377,116.8463,83.53,74,22,13.42,few clouds
177,Bonavista,CA,48.6499,-53.1147,39.2,100,90,4.92,overcast clouds
178,Dongning,CN,44.0622,131.1207,6.73,89,100,1.72,overcast clouds
179,Alice Springs,AU,-23.7,133.8833,71.6,68,75,11.5,broken clouds
180,Yumen,CN,40.2833,97.2,28.38,61,0,15.3,clear sky
181,Bugiri,UG,0.5714,33.7417,66.16,85,2,4.5,clear sky
182,Maguling,PH,6.095,124.4033,83.62,64,85,0.34,overcast clouds
183,Georgetown,MY,5.4112,100.3354,80.01,83,20,7.14,few clouds
184,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,18.41,few clouds
185,Bengkulu,ID,-3.8004,102.2655,78.3,79,44,3.96,scattered clouds
186,Kenai,US,60.5544,-151.2583,19.4,86,90,6.91,overcast clouds
187,Elko,US,41.0002,-115.5012,37.4,41,1,11.5,clear sky
188,Ardakan,IR,32.31,54.0175,44.83,49,0,4.63,clear sky
189,Northam,GB,51.0333,-4.2167,43.0,95,9,8.01,clear sky
190,Ribeira Grande,PT,38.5167,-28.7,55.6,70,72,20.31,broken clouds
191,Margate,GB,51.3813,1.3862,46.99,90,100,4.0,overcast clouds
192,Sinnamary,GF,5.3833,-52.95,77.16,80,95,14.16,overcast clouds
193,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,76.01,83,91,4.97,overcast clouds
194,Xingcheng,CN,40.6167,120.7167,34.27,71,0,8.01,clear sky
195,Goure,NE,13.9835,10.2704,69.01,24,0,10.0,clear sky
196,Vostok,RU,46.4856,135.8833,-9.51,86,4,5.97,clear sky
197,Mackay,AU,-21.15,149.2,80.6,78,73,12.66,broken clouds
198,Constitucion,CL,-35.3333,-72.4167,60.17,91,82,2.77,broken clouds
199,Caconda,AO,-13.7333,15.0667,60.55,74,97,3.78,overcast clouds
200,Ulladulla,AU,-35.35,150.4667,80.01,61,75,4.61,broken clouds
201,Dandong,CN,40.1292,124.3947,24.93,95,16,5.37,few clouds
202,Coquimbo,CL,-29.9533,-71.3436,60.8,82,75,9.22,broken clouds
203,Kutum,SD,14.2,24.6667,52.97,40,0,12.82,clear sky
204,Tabou,CI,4.423,-7.3528,78.44,90,100,8.12,overcast clouds
205,Srednekolymsk,RU,67.45,153.6833,-7.83,83,99,17.02,overcast clouds
206,Moose Factory,CA,51.2585,-80.6094,33.8,59,90,11.5,overcast clouds
207,Kagadi,UG,0.9606,30.7967,66.45,75,94,4.05,overcast clouds
208,Aykhal,RU,66.0,111.5,-36.54,80,14,4.47,few clouds
209,Port Hedland,AU,-20.3167,118.5667,83.8,72,70,9.66,broken clouds
210,Faya,SA,18.3851,42.4509,59.0,67,0,9.22,clear sky
211,Saint-Pierre,RE,-21.3393,55.4781,79.0,73,90,4.61,overcast clouds
212,Conde,BR,-7.2597,-34.9075,78.8,83,0,4.61,clear sky
213,Chapais,CA,49.7834,-74.8492,17.6,86,1,2.48,clear sky
214,San Quintin,MX,30.4833,-115.95,59.16,69,75,16.67,broken clouds
215,Sitka,US,57.0531,-135.33,37.4,93,40,14.97,scattered clouds
216,Diffa,NE,13.3154,12.6113,66.45,36,0,12.1,clear sky
217,Putatan,MY,5.9258,116.0609,78.8,83,20,4.61,few clouds
218,Udachnyy,RU,66.4167,112.4,-40.5,79,7,3.53,clear sky
219,Neiafu,TO,-18.65,-173.9833,82.4,89,75,8.05,moderate rain
220,Akureyri,IS,65.6835,-18.0878,28.4,59,0,5.75,clear sky
221,Oranjestad,AW,12.524,-70.027,80.6,83,20,18.41,few clouds
222,Encruzilhada,BR,-15.5314,-40.9094,68.16,94,25,4.72,light rain
223,Comodoro Rivadavia,AR,-45.8667,-67.5,77.0,47,0,5.75,clear sky
224,Guayaramerin,BO,-10.8368,-65.3614,74.52,97,100,3.0,light rain
225,Madarounfa,NE,13.3087,7.156,67.86,23,0,10.51,clear sky
226,Pamekasan,ID,-7.1568,113.4746,81.75,79,90,18.86,overcast clouds
227,Capitao Poco,BR,-1.7464,-47.0594,74.5,95,100,5.17,overcast clouds
228,Makakilo City,US,21.3469,-158.0858,75.2,50,40,11.5,scattered clouds
229,Chuy,UY,-33.6971,-53.4616,65.68,82,100,13.29,overcast clouds
230,Sri Aman,MY,1.2376,111.4621,75.2,94,40,3.44,scattered clouds
231,Sol-Iletsk,RU,51.1631,54.9918,34.32,97,100,8.39,light snow
232,Bubaque,GW,11.2833,-15.8333,77.76,66,21,13.91,few clouds
233,Viru,PE,-8.4167,-78.75,74.05,62,95,4.0,overcast clouds
234,Mehamn,NO,71.0357,27.8492,27.21,90,100,14.58,overcast clouds
235,Moron,AR,-34.6534,-58.6198,78.01,53,0,3.09,clear sky
236,Rovenki,UA,48.0833,39.3776,42.08,91,100,14.92,overcast clouds
237,Gornyak,RU,50.9942,81.4661,22.55,98,100,9.75,overcast clouds
238,Paramonga,PE,-10.6667,-77.8333,70.39,79,85,5.44,overcast clouds
239,Sterlibashevo,RU,53.4376,55.2578,34.75,96,100,9.19,overcast clouds
240,Lazaro Cardenas,MX,17.9583,-102.2,75.67,77,0,5.88,clear sky
241,Muros,ES,42.7762,-9.0603,48.0,92,98,6.04,overcast clouds
242,Biak,ID,-0.9131,122.8766,80.78,73,100,1.68,overcast clouds
243,Beira,MZ,-19.8436,34.8389,80.6,78,20,3.44,few clouds
244,Qaqortoq,GL,60.7167,-46.0333,14.0,52,99,4.61,overcast clouds
245,Hudson Bay,CA,52.85,-102.3842,-5.48,89,100,5.55,overcast clouds
246,Merrill,US,45.1805,-89.6835,26.6,93,90,14.97,snow
247,Punta Cardon,VE,11.6581,-70.215,78.35,83,99,29.51,overcast clouds
248,Tezu,IN,27.9167,96.1667,60.66,31,0,4.25,clear sky
249,Jefferson City,US,38.5767,-92.1735,32.0,64,1,12.66,clear sky
250,Kihei,US,20.785,-156.4656,71.6,60,90,13.8,overcast clouds
251,Olafsvik,IS,64.8945,-23.7142,38.23,80,100,36.15,light rain
252,Kedrovyy,RU,56.1667,91.8167,5.0,85,0,4.47,clear sky
253,Salalah,OM,17.0151,54.0924,71.6,73,40,4.61,scattered clouds
254,Alofi,NU,-19.0595,-169.9187,82.4,83,75,11.5,broken clouds
255,Huarmey,PE,-10.0681,-78.1522,70.9,75,74,5.23,broken clouds
256,Yar-Sale,RU,66.8333,70.8333,-21.66,87,6,6.64,clear sky
257,Nazarovo,RU,56.0064,90.3914,5.02,94,100,7.43,overcast clouds
258,Nantucket,US,41.2835,-70.0995,33.01,86,90,5.75,overcast clouds
259,Gayny,RU,60.3071,54.3241,20.35,98,100,6.31,light snow
260,Labuhan,ID,-6.8844,112.2051,81.63,80,83,19.35,broken clouds
261,Dharchula,IN,29.85,80.5333,45.75,62,100,2.8,overcast clouds
262,Da Lat,VN,11.9465,108.4419,62.28,79,69,2.55,broken clouds
263,Cockburn Town,TC,21.4612,-71.1419,73.4,60,40,6.91,scattered clouds
264,Heze,CN,35.2431,115.4411,47.62,52,99,10.98,overcast clouds
265,Touros,BR,-5.1989,-35.4608,78.8,78,0,10.36,clear sky
266,Camargo,MX,27.6667,-105.1667,73.08,21,100,12.46,overcast clouds
267,Abidjan,CI,5.3094,-4.0197,82.4,94,20,6.91,few clouds
268,Dingle,PH,10.9995,122.6711,80.24,83,89,13.67,overcast clouds
269,Tshikapa,CD,-6.4167,20.8,71.17,88,96,1.72,overcast clouds
270,Dudinka,RU,69.4058,86.1778,-32.3,84,100,3.33,overcast clouds
271,Nanortalik,GL,60.1432,-45.2371,20.98,76,100,7.14,overcast clouds
272,Svetlyy Yar,RU,48.4748,44.781,44.6,81,75,13.42,light rain
273,Oktyabrskiy,RU,54.4815,53.471,34.02,95,100,8.05,overcast clouds
274,Saint Anthony,US,45.0205,-93.218,15.8,67,1,20.71,clear sky
275,Banda Aceh,ID,5.5577,95.3222,78.03,78,32,14.72,scattered clouds
276,Haines Junction,CA,60.7522,-137.5108,-14.8,64,63,0.56,broken clouds
277,Lubao,PH,14.9167,120.55,78.8,69,90,11.5,overcast clouds
278,Lata,PT,40.1629,-8.3327,51.01,89,100,5.99,overcast clouds
279,Frontignan,FR,43.4485,3.754,54.0,94,90,5.75,overcast clouds
280,Sonepur,IN,20.8333,83.9167,53.69,40,0,2.06,clear sky
281,Nushki,PK,29.5542,66.0215,42.87,55,0,1.74,clear sky
282,Mitchell,US,43.7094,-98.0298,19.4,63,1,9.22,clear sky
283,Alta Floresta,BR,-9.8756,-56.0861,74.34,92,100,0.74,overcast clouds
284,La Fria,VE,8.2203,-72.2439,82.4,65,40,2.3,scattered clouds
285,Port Hardy,CA,50.6996,-127.4199,42.8,100,90,5.75,moderate rain
286,Rock Springs,US,41.5875,-109.2029,21.2,63,20,28.77,few clouds
287,Kieta,PG,-6.2167,155.6333,86.02,65,74,6.55,broken clouds
288,Casambalangan,PH,18.3765,122.1274,73.58,77,34,11.86,scattered clouds
289,Luba,GQ,3.4568,8.5547,75.2,88,20,4.61,few clouds
290,Astoria,US,46.1879,-123.8313,48.99,100,90,12.66,mist
291,Sturgeon Falls,CA,46.3646,-79.9326,28.4,54,90,8.05,overcast clouds
292,Clyde River,CA,70.4692,-68.5914,-18.4,69,90,16.11,light snow
293,Storforshei,NO,66.4043,14.5233,9.0,83,89,3.0,overcast clouds
294,Ornskoldsvik,SE,63.2909,18.7153,19.4,93,75,10.36,broken clouds
295,Tongchuan,CN,35.0806,109.0897,39.67,58,0,4.76,clear sky
296,Old Town,CZ,50.087,14.4202,36.0,75,0,3.44,clear sky
297,Gashua,NG,12.871,11.0482,66.81,25,0,11.59,clear sky
298,Kloulklubed,PW,7.0419,134.2556,82.4,78,75,10.36,broken clouds
299,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.2,48,20,2.24,few clouds
300,Unai,BR,-16.3575,-46.9061,73.27,82,96,2.39,overcast clouds
301,Paungde,MM,18.4833,95.5,70.02,47,0,4.65,clear sky
302,Beloha,MG,-25.1667,45.05,78.1,76,36,6.29,scattered clouds
